Mağazalar,ID,Demand,Enlem,Boylam,Açılış,Kapanış
MERKEZ DEPO,0,0,40.84,29.44,0,24
Çamlıca,1,15,41.01,29.07,8,17
Emaar,2,10,41.00,29.07,8,17
Optimum,3,8,40.99,29.09,8,11
Pelican Mall,4,10,40.99,28.71,7,16
Beylikdüzü,5,8,41.01,28.68,8,16
Prestige Mall,6,6,41.07,28.69,7,11
City Center,7,12,41.02,28.69,7,17
Bostancı,8,18,40.96,29.11,8,24
Mini Güneşli,9,5,41.05,28.83,8,11
Mall of Istanbul,10,5,41.06,28.81,8,16
Metropol İstanbul,11,10,40.99,29.12,8,11
Kavacık,12,8,41.09,29.09,8,10
Meydan İstanbul AVM,13,7,41.02,29.13,8,13
MarmaraAnatolium,14,5,40.92,29.16,7,17
Ritimİstanbul,15,4,40.92,29.16,8,17
