Mağazalar,ID,Demand,Enlem,Boylam,Açılış,Kapanış
MERKEZ DEPO,0,0,40.84,29.44,0,24
Prestige Mall,1,10,41.067756,28.690866,7,11
Perlavista,2,8,41.016097,28.627301,7,10
Beylikdüzü,3,24,41.005176,28.680956,8,16
City Center,4,12,41.019365,28.68708,7,17
Florya,5,18,40.984831,28.784597,8,11
Eyüp Park,6,9,41.080705,28.927424,8,10
Forum İstanbul,7,15,41.047276,28.897083,8,17
Axis Bayrampaşa,8,9,41.034726,28.921359,8,11
Viaport Venezia,9,6,41.080412,28.878821,8,10
Marmara Forum,10,15,40.993994,28.884651,7,17
Mall of İstanbul,11,19,41.063804,28.806376,8,16
Avlu34,12,10,41.1827,28.7349,8,14
Vialand,13,10,41.0759,28.923,8,17
