Mağazalar,ID,Demand,Enlem,Boylam,Açılış,Kapanış,,
MERKEZ DEPO,0,0,40.84,29.44,0,36000,,
AKASYA,1,0,41,29.05,25200,61200,,143
Atlaspark,2,7,40.97,29.26,25200,61200,,
Avlu 34,3,0,41.18,28.73,28800,50400,,
Axis Bayrampaşa,4,8,41.03,28.92,28800,39600,,
BAGCILAR MINI GUNESLI,5,0,41.05,28.83,28800,39600,,
Beylikdüzü,6,0,41.01,28.68,28800,57600,,
Beylikdüzü Migros,7,0,41.01,28.66,25200,36000,,
Bostancı,8,0,40.96,29.11,28800,82800,,
Brandium,9,0,40.98,29.13,28800,46800,,
BUYAKA,10,0,41.03,29.14,25200,82800,,
Camlıca,11,0,41.01,29.07,28800,61200,,
Çamsan Park AVM,12,14,41.01,29.2,25200,36000,,
Canpark,13,0,41.02,29.11,25200,61200,,
Carousel,14,0,40.98,28.87,25200,61200,,
Cevahir AVM,15,6,41.06,28.99,25200,39600,,
City Center,16,0,41.02,28.69,25200,61200,,
Emaar,17,0,41,29.07,28800,61200,,
Eyüp Park,18,0,41.08,28.93,28800,36000,,
Florya,19,0,40.98,28.78,28800,39600,,
Forum İstanbul,20,15,41.05,28.9,28800,61200,,
Göktürk,21,10,41.18,28.88,28800,61200,,
ISTANBUL VIALAND AVM,22,10,41.08,28.92,28800,61200,,
İstmarin,23,0,40.88,29.21,25200,39600,,
Kadir Has,24,9,41,28.86,28800,57600,,
Kağıthane Axis,25,8,41.09,28.98,28800,61200,,
Kale Center,26,8,41.02,28.88,25200,61200,,
Kartal,27,0,40.9,29.22,28800,36000,,
Kavacık,28,0,41.09,29.09,28800,36000,,
Kaynarca,29,0,40.88,29.26,28800,61200,,
Kızıltoprak,30,0,40.98,29.04,28800,61200,,
Lens,31,4,40.93,29.31,28800,32400,,
Mall of İstanbul,32,0,41.06,28.81,28800,57600,,
Maltepe Park,33,0,40.91888914,29.16409993,25200,57600,,
Marmara Anatolium,34,0,40.91888914,29.16409993,25200,61200,,
Marmara Forum,35,0,41,28.89,25200,36000,,
Maslak,36,7,41.11,29.02,28800,57600,,
Metrocity,37,0,41.08,29.01,28800,61200,,
MetroGarden,38,0,41.02,29.18,28800,39600,,
Metropol,39,0,40.99,29.12,28800,39600,,
Meydan İstanbul AVM,40,11,41.02,29.13,28800,46800,,
MINI ALTAYCESME,41,0,40.92,29.14,25200,39600,,
Nev Çarşı AVM,42,0,41.02,29.02,28800,57600,,
NOVADA,43,0,40.99,29.12,25200,57600,,
Optimum,44,0,40.99,29.09,28800,39600,,
PALLADIUM,45,0,40.99,29.1,25200,39600,,
PelicanMall,46,0,40.99,28.71,25200,57600,,
PENDIK MINI CEBECI,47,0,40.87,29.24,25200,79200,,
Pendorya,48,0,40.87,29.28,25200,54000,,
Perlavista,49,0,41.02,28.63,25200,36000,,
Piyalepaşa AVM,50,0,41.04,28.97,25200,36000,,
Prestige Mall,51,0,41.07,28.69,25200,39600,,
Ritim İstanbul,52,8,40.92215076,29.15967418,28800,61200,,
Sapphire,53,0,41.09,29.01,28800,57600,,
Silivri Vega,54,0,41.08,28.25,25200,57600,,
Starcity,55,0,41.01,28.82,25200,39600,,
Tepe Nautilus AVM,56,0,41,29.03,25200,61200,,
TORIUM,57,0,41.01,28.69,25200,39600,,
Trump Towers,58,0,41.07,28.99,25200,36000,,
Tuzla Port,59,0,40.82,29.3,28800,61200,,
UPCITY,60,0,40.93,29.21,25200,61200,,
Vadi İstanbul,61,7,41.11,28.99,28800,36000,,
Vega İstanbul AVM,62,0,41.02,28.93,25200,36000,,
Viaport AVM,63,11,40.94,29.32,28800,36000,,
Viaport Venezia,64,0,41.08,28.88,28800,36000,,
